ID,SAMPLE,ecotype_id,pop_code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1_33,TOU-A1-33,71042,TOUA1,-5.32332915394848,-1.9428005058642788,0.9735337197580894,-0.3788595972246883,0.8287661358861975,-5.1171476680504355,-0.11433812591836427,-1.399033417633586
1_34,TOU-A1-34,71043,TOUA1,1.058516139364492,-1.0347622758594592,5.120199093486673,-5.53773182947404,0.4285862699076149,-0.5794638939177165,0.2756474077096392,2.703147987384309
1_37,TOU-A1-37,71044,TOUA1,1.1085347476814584,1.3803005127982741,0.7525302931588456,0.06531027462285835,0.16600976307843132,-0.04052358730870914,0.43550887497409685,0.1914270140530538
1_38,TOU-A1-38,71045,TOUA1,2.1094538927476685,1.5004233860534095,-0.05050855313179479,0.554022675914225,0.2712472779952585,-1.2870782402367356,0.04768726764420571,-0.9520164924175971
1_39,TOU-A1-39,71046,TOUA1,-0.019026379155943008,-1.2056447900875225,2.094744283931844,-1.1536432046301213,-1.9681648146584454,-0.8731917080114466,-0.8273818035276966,-0.8559909852944452
1_4,TOU-A1-4,71047,TOUA1,-1.0432221001182904,0.2547421457168112,-1.703671952067805,0.3109035903056083,-0.49472937764636243,0.2828059000231566,-1.2223018341865166,0.7962085023314107
1_41,TOU-A1-41,71048,TOUA1,-3.142621808414436,0.7801128359791633,3.824198485016973,-5.130972920714968,0.4249862524995751,-1.5896961958976015,-2.5704838533240113,0.29889989735007444
1_43,TOU-A1-43,71049,TOUA1,-1.4076972698184096,5.010862866782328,2.6407065516038584,0.43642515880768873,-1.1665983740656491,-1.388106046170179,-1.1410033322552755,0.555744765242514
1_47,TOU-A1-47,71050,TOUA1,0.3739859378390046,2.0254689933737877,2.5688279149940905,1.5401252957278226,-0.2220226545568136,-0.11150377736792157,-0.00997662074494413,-1.7769500016834134
1_6,TOU-A1-6,71051,TOUA1,-2.8318954606808058,-2.484316521292676,-2.2836107268830887,-0.149822675139043,-1.9235771853634414,0.8838824806716548,0.11026961293146778,0.8856373328764106
1_60,TOU-A1-60,71052,TOUA1,-3.6413413344870387,2.719818317236822,-2.6131726346453608,-1.6867740074243553,-2.3071872960852193,-0.7136027646976414,-0.2547049079762315,-0.6138235565597677
1_61,TOU-A1-61,71053,TOUA1,-2.9605066790814547,-2.232670161178269,-1.547090729261188,-3.757088601881591,-0.5025816678799251,-3.890255251776221,0.12174626668881597,2.2514211843393466
1_62,TOU-A1-62,71054,TOUA1,1.7965892142765953,-1.061733514618147,1.050093508180766,-1.9000096330677494,-0.48270830507486,-1.2230786125152733,-0.3772022029513524,0.9433110872660868
1_63,TOU-A1-63,71055,TOUA1,-1.269841017857459,1.6158578419709704,-0.04731408562011055,0.009863796025606449,0.8605607874957474,0.5206658266790248,2.366545112935841,-0.9192985841434016
